parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
4474,78.0,,53000OKD7brt1NANA
4534,86.0,,53000OKD7brt1NANA
4538,85.0,,53000OKD7brt1NANA
4541,85.0,,53000OKD7brt1NANA
4562,,2.1,53000OKD7brt3NANA
4570,89.0,,53000OKD7bart1NANA
4576,81.0,,53000OKD7bart1NANA
4606,90.0,,53000OKD7bart1NANA
4625,81.0,,53000OKD7bart1NANA
4628,78.0,,53000OKD7bart1NANA
4643,79.0,,53000OKD7bart1NANA
4670,79.0,,53000OKD7bart1NANA
4671,79.0,,53000OKD7bart1NANA
4706,85.0,,53000OKD7bart1NANA
4721,91.0,,53000OKD7bart1NANA
4729,81.0,,53000OKD7bart1NANA
4743,83.0,,53000OKD7bart1NANA
4754,82.0,,53000OKD7bart1NANA
4765,87.0,,53000OKD7bart1NANA
4781,85.0,,53000OKD7bart1NANA
4806,85.0,,53000OKD7bart1NANA
4850,85.0,,53000OKD7bart1NANA
4852,86.0,,53000OKD7bart1NANA
4853,86.0,,53000OKD7bart1NANA
4884,90.0,,53000OKD7bart1NANA
4885,90.0,,53000OKD7bart1NANA
4886,90.0,,53000OKD7bart1NANA
4888,87.0,,53000OKD7bart1NANA
4966,82.0,,53000OKD7bart1NANA
5009,107.0,,53000OKD7b3NANA
5068,82.0,,53000OKD7bart1NANA
5069,87.0,,53000OKD7bart1NANA
5070,86.0,,53000OKD7bart1NANA
5071,87.0,,53000OKD7bart1NANA
5074,87.0,,53000OKD7bart1NANA
5117,83.0,,53000OKD7bart1NANA
5121,78.0,,53000OKD7bart1NANA
5124,84.0,,53000OKD7bart1NANA
5130,77.0,,53000OKD7bart1NANA
5135,80.0,,53000OKD7bart1NANA
5136,85.0,,53000OKD7bart1NANA
5304,104.0,,53000OKD7b2NANA
5316,84.0,,53000OKD7brt3NANA
5317,84.0,,53000OKD7brt3NANA
5322,83.0,,53000OKD7brt3NANA
5337,86.0,,53000OKD7bart1NANA
5341,88.0,,53000OKD7brt3NANA
5342,88.0,,53000OKD7brt3NANA
5345,85.0,,53000OKD7brt3NANA
5372,81.0,,53000OKD7brt3NANA
5412,102.0,,53000OKD7brt3NANA
5427,,5.9,53000OKD7brt3NANA
5436,79.0,,53000OKD7brt3NANA
5456,123.0,,53000OKD7brt3NANA
5461,120.0,,53000OKD7brt3NANA
5463,122.0,,53000OKD7brt3NANA
5465,120.0,,53000OKD7brt3NANA
5472,120.0,,53000OKD7brt3NANA
5479,121.0,,53000OKD7brt3NANA
5488,122.0,,53000OKD7brt3NANA
5498,120.0,,53000OKD7brt3NANA
5499,121.0,,53000OKD7brt3NANA
5538,83.0,,53000OKD7brt3NANA
5565,84.0,,53000OKD7brt3NANA
5587,84.0,,53000OKD7brt1NANA
5634,78.0,,53000OKD7b1NANA
5648,66.0,,53000OKD7b1NANA
5689,74.0,,53000OKD7b1NANA
5695,72.0,,53000OKD7b1NANA
5733,,6.0,53000OKD7brt3NANA
5734,,5.9,53000OKD7b1NANA
5743,120.0,,53000OKD7brt3NANA
5827,78.0,,53000OKD7brt1NANA
5990,209.0,,53000OKD3bart1NANA
6023,215.0,,53000OKD3bart1NANA
6047,215.0,,53000OKD3bart1NANA
6050,212.0,,53000OKD3bart1NANA
6053,217.0,,53000OKD3bart1NANA
6056,220.0,,53000OKD3bart1NANA
6060,218.0,,53000OKD3bart1NANA
6070,218.0,,53000OKD3bart1NANA
6077,213.0,,53000OKD3bart1NANA
6099,,9.4,53000OKD3bart1NANA
6101,225.0,,53000OKD3bart1NANA
6102,219.0,,53000OKD3bart1NANA
6104,213.0,,53000OKD3bart1NANA
6112,221.0,,53000OKD3bart1NANA
6130,223.0,,53000OKD3bart1NANA
6154,218.0,,53000OKD3bart1NANA
6160,212.0,,53000OKD3bart1NANA
6161,226.0,,53000OKD3bart1NANA
6167,219.0,,53000OKD3bart1NANA
6182,222.0,,53000OKD3bart1NANA
6196,213.0,,53000OKD3bart1NANA
6197,213.0,,53000OKD3bart1NANA
6198,214.0,,53000OKD3bart1NANA
6206,214.0,,53000OKD3bart1NANA
6210,213.0,,53000OKD3bart1NANA
6211,222.0,,53000OKD3bart1NANA
6215,215.0,,53000OKD3bart1NANA
6220,221.0,,53000OKD3bart1NANA
6223,214.0,,53000OKD3bart1NANA
6226,223.0,,53000OKD3bart1NANA
6234,223.0,,53000OKD3bart1NANA
6237,222.0,,53000OKD3bart1NANA
6249,225.0,,53000OKD3bart1NANA
6261,223.0,,53000OKD3bart1NANA
6272,215.0,,53000OKD3bart1NANA
6274,214.0,,53000OKD3bart1NANA
6277,212.0,,53000OKD3bart1NANA
6279,216.0,,53000OKD3bart1NANA
6285,212.0,,53000OKD3bart1NANA
6290,213.0,,53000OKD3bart1NANA
6297,221.0,,53000OKD3bart1NANA
6299,223.0,,53000OKD3bart1NANA
6304,214.0,,53000OKD3bart1NANA
6323,207.0,,53000OKD3bart1NANA
6326,223.0,,53000OKD3bart1NANA
6337,,9.3,53000OKD3bart1NANA
6339,215.0,,53000OKD3bart1NANA
6349,211.0,,53000OKD3bart1NANA
6358,226.0,,53000OKD3bart1NANA
6362,213.0,,53000OKD3bart1NANA
6367,213.0,,53000OKD3bart1NANA
6388,220.0,,53000OKD3bart1NANA
6401,214.0,,53000OKD3bart1NANA
6419,209.0,,53000OKD3bart1NANA
6436,222.0,,53000OKD3bart1NANA
6439,210.0,,53000OKD3bart1NANA
6445,223.0,,53000OKD3bart1NANA
6446,218.0,,53000OKD3bart1NANA
6489,164.0,,53000OKD3bart1NANA
6503,166.0,,53000OKD3bart1NANA
6510,169.0,,53000OKD3bart1NANA
6515,167.0,,53000OKD3bart1NANA
6546,168.0,,53000OKD3bart1NANA
6549,166.0,,53000OKD3bart1NANA
6551,167.0,,53000OKD3bart1NANA
6557,166.0,,53000OKD3bart1NANA
6575,168.0,,53000OKD3bart1NANA
6581,172.0,,53000OKD3bart1NANA
6598,168.0,,53000OKD3bart1NANA
6603,173.0,,53000OKD3lrt2NANA
6618,,9.4,53000OKD3bart1NANA
