zoningmodcat,max_built_dua,max_built_non_res_far
49670NAlrt1NANA,12.0,
49670NAlrt2NANA,,0.1
49670NAlrt3NANA,14.0,0.4
50258NANANANA,21.0,0.2
50258NANAexp1_npNA,5.0,
50258NAP1NANANA,16.0,1.7
50258NAP1b3NANA,50.0,1.7
50258NAb3NANA,11.0,
50916NANANANA,23.0,0.9
50916NEW2NANANA,47.0,
52582NANANANA,8.0,
52582NAb2NANA,33.0,
52582NAb3NANA,8.0,
52582NAcr4NANA,4.0,
53000NANANANA,25.0,
53000NAb1NANA,25.0,
53000NAb2NANA,110.0,
53000NAb3NANA,8.0,
53000NAbrt3NANA,113.0,3.0
53000OKD1NANANA,61.0,
53000OKD1_aNANANA,56.0,
53000OKD1_ab2NANA,111.0,
53000OKD1_ab3NANA,56.0,
53000OKD1_abart1NANA,116.0,
53000OKD1_abrt1NANA,124.0,3.0
53000OKD1_abrt2NANA,106.0,6.0
53000OKD1_bbrt1NANA,115.0,
53000OKD1b1NANA,112.0,
53000OKD1b2NANA,121.0,
53000OKD1b3NANA,55.0,
53000OKD1bart1NANA,112.0,
53000OKD1bart3NANA,78.0,
53000OKD1brt1NANA,111.0,
53000OKD1brt3NANA,113.0,3.2
53000OKD1lrt2NANA,117.0,
53000OKD2NANANA,54.0,
53000OKD2b1NANA,127.0,
53000OKD2b2NANA,126.0,
53000OKD2bart1NANA,98.0,
53000OKD2brt1NANA,98.0,
53000OKD3NANANA,56.0,
53000OKD3bart1NANA,277.0,9.4
53000OKD3brt1NANA,175.0,
53000OKD3lrt2NANA,276.0,9.4
53000OKD4b1NANA,114.0,
53000OKD4b2NANA,105.0,
53000OKD4brt1NANA,116.0,
53000OKD4brt3NANA,118.0,
53000OKD5NANANA,55.0,
53000OKD5b1NANA,156.0,
53000OKD5b2NANA,140.0,
53000OKD5bart1NANA,174.0,3.2
53000OKD5brt1NANA,165.0,6.0
53000OKD5brt3NANA,130.0,
53000OKD6b1NANA,64.0,
53000OKD6b2NANA,111.0,
53000OKD6bart1NANA,119.0,9.4
53000OKD6bart3NANA,111.0,
53000OKD6brt1NANA,104.0,
53000OKD6brt2NANA,112.0,9.4
53000OKD6lrt2NANA,112.0,9.3
53000OKD7b1NANA,106.0,5.9
53000OKD7b2NANA,104.0,
53000OKD7b3NANA,107.0,
53000OKD7bart1NANA,155.0,2.1
53000OKD7brt1NANA,119.0,5.9
53000OKD7brt3NANA,123.0,6.0
53000OKD7lrt2NANA,122.0,
53000OKD8b1NANA,60.0,
53000OKD8b2NANA,65.0,
53000OKD8bart2NANA,95.0,
53000OKD8bart3NANA,104.0,
53000OKD8brt1NANA,118.0,
53000OKD8brt2NANA,111.0,
53070NANANANA,9.0,
53070NAb3NANA,5.0,
53070OAK1NANANA,43.0,
53070OAK1b2NANA,20.0,
53070OAK2b3NANA,47.0,
53070OAK3NANANA,46.0,
53070OAK3b3NANA,55.0,
54232NANANANA,7.0,
54232NAbart3NANA,12.0,
54232ORI1bart3NANA,55.0,
54806NANANANA,5.0,
54806NAb3NANA,19.0,0.2
55282NANANANA,4.0,
55282NAb1NANA,37.0,
55282NAb2NANA,41.0,
55282NAb3NANA,39.0,
55282NAbrt2NANA,40.0,
55282NAbrt3NANA,4.0,
55282NAcr3NANA,35.0,
55282PAL1cr3NANA,87.0,
56784NANANANA,29.0,2.1
56784NAb3NANA,29.0,
56784NAcr4NANA,27.0,
56784PET1NANANA,24.0,
56784PET1cr4NANA,28.0,6.0
56938NAb2NANA,8.0,
57288NANANANA,5.0,
57288NAb2NANA,18.0,
57288PIN1b2NANA,32.0,
57288PIN1b3NANA,84.0,
57288PIN2NANANA,15.0,
57288PIN2b3NANA,17.0,
57456NANANANA,24.0,
57456NAb2NANA,11.0,
57456NAb3NANA,7.0,
57456NAbart3NANA,7.0,
57456PIT1NANANA,47.0,
57456PIT1b2NANA,47.0,
57456PIT1bart3NANA,56.0,
57456PIT2NANANA,87.0,
57764NANANANA,20.0,0.2
57764NAb2NANA,21.0,
57764NAb3NANA,16.0,
57764PLH1b2NANA,38.0,
57764PLH2NANANA,15.0,
57792NANANANA,27.0,
57792NAb2NANA,29.0,
57792NAb3NANA,26.0,
57792NAbart3NANA,25.0,
57792PLE1NANANA,19.0,
57792PLE1b2NANA,39.0,3.2
57792PLE1bart3NANA,34.0,
60102CCG1_lNANANA,114.0,
60102NANANANA,111.0,5.1
60102NAb2NANA,39.0,
60102NAb3NANA,38.0,
60102NAbrt2NANA,31.0,
60102NAcr2NANA,111.0,
60102RWC1cr2NANA,207.0,9.3
60102RWC2NANANA,,4.3
60102RWC2b3NANA,170.0,
60102RWC2brt2NANA,111.0,
60102RWC2cr2NANA,204.0,9.4
60102RWC3b2NANA,74.0,4.3
60102RWC3brt2NANA,92.0,
60102RWC3cr2NANA,167.0,
60620NANANANA,74.0,1.7
60620NAb2NANA,43.0,
60620NAb3NANA,77.0,
60620NAbart2NANA,73.0,
60620NAbrt1NANA,31.0,
60620RIC1_aNANANA,88.0,
60620RIC1_ab2NANA,86.0,
60620RIC1_ab3NANA,67.0,
60620RIC1_abart2NANA,108.0,
60620RIC1_abrt1NANA,103.0,
60620RIC1_bNANANA,86.0,
60620RIC1_bb2NANA,85.0,
60620RIC1_bbart2NANA,81.0,
60620RIC2NANANA,82.0,3.2
60620RIC2b2NANA,42.0,
60620RIC2b3NANA,85.0,
60620RIC2bart2NANA,83.0,
60620WCC1_cbart2NANA,87.0,
60620WCC1_cbrt1NANA,90.0,
60984NANANANA,11.0,
62546NANANANA,27.0,0.8
62546NAcr4NANA,24.0,
62546ROH2NANANA,54.0,2.3
62546ROH2b3NANA,61.0,
62546ROH2cr4NANA,74.0,
62980NAb2NANA,7.0,
64140NANANANA,21.0,0.4
64434NAb2NANA,66.0,
64434NAb3NANA,5.0,
65028MIL1b3NANA,39.0,
65028NANANANA,39.0,
65028SBR1NANANA,44.0,
65028SBR1bart2NANA,70.0,5.9
65028SBR1brt2NANA,44.0,6.0
65028SBR1cr3NANA,70.0,6.0
65028SBR1cr4NANA,37.0,
65070NANANANA,17.0,5.1
65070NAb2NANA,37.0,2.1
65070NAb3NANA,36.0,2.1
65070NAcr3NANA,53.0,1.3
65070SCA1b2NANA,,2.1
65070SCA1cr3NANA,53.0,2.1
67000NAb1NANA,82.0,
67000NAb2NANA,78.0,
67000NAbart1NANA,15.0,
67000NAbrt1NANA,70.0,
67000NAlrt1NANA,79.0,
67000NAlrt2NANA,80.0,
67000SFO10b2NANA,68.0,
67000SFO10bart1NANA,90.0,
67000SFO10lrt1NANA,148.0,
67000SFO10lrt2NANA,76.0,
67000SFO11bart1NANA,338.0,
67000SFO11lrt1NANA,339.0,
67000SFO12b1NANA,46.0,
67000SFO12bart1NANA,157.0,
67000SFO12brt1NANA,70.0,
67000SFO12lrt1NANA,87.0,
67000SFO12lrt2NANA,78.0,
67000SFO1b1NANA,105.0,
67000SFO1b2NANA,102.0,
67000SFO1brt1NANA,103.0,
67000SFO1lrt1NANA,136.0,
67000SFO2bart1NANA,92.0,
67000SFO2lrt2NANA,92.0,
67000SFO3bart1NANA,335.0,
67000SFO3brt1NANA,280.0,
67000SFO3lrt1NANA,289.0,
67000SFO3lrt2NANA,287.0,
67000SFO4b1NANA,249.0,
67000SFO4bart1NANA,286.0,
67000SFO4brt1NANA,259.0,
67000SFO4cr2NANA,283.0,
67000SFO4lrt1NANA,259.0,
67000SFO5cr2NANA,75.0,
67000SFO5lrt1NANA,102.0,
67000SFO6bart1NANA,101.0,
67000SFO6lrt1NANA,92.0,
67000SFO6lrt1NAopp1,102.0,
67000SFO6lrt2NANA,103.0,
67000SFO7bart1NANA,406.0,
67000SFO8b2NANA,74.0,
67000SFO9_bbrt1NANA,120.0,
67000SFO9_bcr3NANA,120.0,
67000SFO9_blrt1NANA,120.0,
68000NANANANA,93.0,0.9
68000NAb1NANA,32.0,
68000NAb2NANA,93.0,0.9
68000NAb3NANA,32.0,0.9
68000NAbrt2NANA,31.0,
68000NAlrt2NANA,93.0,0.9
68000NAlrt3NANA,35.0,
68000SJO10NANANA,76.0,
68000SJO10b3NANA,94.0,
68000SJO10lrt2NANA,80.0,
68000SJO10lrt3NANA,76.0,
68000SJO11b1NANA,84.0,
68000SJO11b2NANA,79.0,
68000SJO12b2NANA,62.0,1.3
68000SJO12b3NANA,62.0,1.3
68000SJO13b3NANA,95.0,
68000SJO14b2NANA,86.0,
68000SJO14lrt3NANA,83.0,1.7
68000SJO15b2NANA,85.0,
68000SJO16NANANA,84.0,
68000SJO16b2NANA,84.0,
68000SJO16b3NANA,84.0,
68000SJO17lrt2NANA,84.0,
68000SJO18lrt2NANA,92.0,
68000SJO19b2NANA,61.0,2.6
68000SJO1bart1NANA,333.0,9.4
68000SJO1lrt1NANA,275.0,
68000SJO2lrt2NANA,102.0,
68000SJO3NANANA,114.0,2.6
68000SJO3b3NANA,112.0,
68000SJO3lrt1NANA,148.0,5.1
68000SJO4b1NANA,124.0,2.6
68000SJO4b2NANA,120.0,2.6
68000SJO4b3NANA,119.0,
