zoningmodcat,max_built_dua
17918DAL1brt2NANA,66.0
17918DAL1lrt2NANA,112.0
17918DAL2brt1NANA,46.0
17918DAL2lrt1NANA,43.0
17918NANANANA,34.0
17918NAb1NANA,20.0
17918NAb2NANA,38.0
17918NAb3NANA,14.0
17988DAN1NANANA,48.0
17988NANANANA,15.0
19402DIX1NANANA,49.0
19402NANANANA,23.0
20018DUB1NANANA,39.0
20018DUB2bart3NANA,25.0
20018DUB3NANANA,54.0
20018DUB3b2NANA,58.0
20018NANANANA,25.0
20956EPA1NANANA,74.0
20956EPA1b3NANA,83.0
20956NANANANA,74.0
20956NAb3NANA,40.0
21796ELC1_abart2NANA,45.0
21796ELC1_bbart2NANA,45.0
21796ELC1_bbrt1NANA,45.0
21796NANANANA,3.0
21796NAbart2NANA,27.0
21796NAbrt1NANA,9.0
22594EME1b1NANA,137.0
22594EME1brt1NANA,137.0
22594NAbrt1NANA,22.0
22594OKD7brt1NANA,76.0
22594OKD8brt1NANA,63.0
23168NAb3NANA,9.0
23182FAI1NANANA,54.0
23182FAI1b2NANA,55.0
23182FAI1b3NANA,89.0
23182FAI2NANANA,19.0
23182FAI3NANANA,24.0
23182FAI3b2NANA,44.0
23182FAI4NANANA,22.0
23182FAI4b3NANA,36.0
23182NANANANA,22.0
25338NANANANA,34.0
25338NAb3NANA,34.0
26000FRE1NANANA,46.0
26000FRE1b2NANA,47.0
26000FRE1b3NANA,50.0
26000FRE1brt2NANA,43.0
26000FRE1brt3NANA,51.0
26000FRE2NANANA,62.0
26000FRE2b1NANA,65.0
26000FRE2b2NANA,61.0
26000FRE2b3NANA,66.0
26000FRE2bart2NANA,66.0
26000FRE2brt3NANA,56.0
26000FRE3NANANA,58.0
26000FRE3b2NANA,59.0
26000FRE3b3NANA,72.0
26000FRE3bart2NANA,62.0
26000FRE4NANANA,28.0
26000FRE4b3NANA,30.0
26000FRE4bart2NANA,22.0
26000NANANANA,13.0
26000NAb1NANA,23.0
26000NAb2NANA,6.0
26000NAb3NANA,16.0
29504GIL1b2NANA,99.0
29504NANANANA,12.0
29504NANAubzNA,4.0
29504NAb2NANA,24.0
29504NAb3NANA,6.0
29504VTA1_cb2NANA,108.0
33000HAY1b3NANA,35.0
33000HAY2b1NANA,158.0
33000HAY2bart2NANA,158.0
33000HAY3_ab3NANA,23.0
33000HAY3_bNANANA,84.0
33000HAY3_bbart2NANA,84.0
33000HAY4NANANA,26.0
33000HAY4b3NANA,34.0
33000HAY4bart2NANA,54.0
33000NANANANA,34.0
33000NAb2NANA,31.0
33000NAb3NANA,8.0
33000NAbart2NANA,30.0
33056NANANANA,20.0
33308HER1NANANA,24.0
33308HER2NANANA,37.0
33308HER2b1NANA,29.0
33308NANANANA,14.0
33308NAb2NANA,32.0
33308NAb3NANA,30.0
33308WCC1_gb2NANA,19.0
33798NANANANA,2.0
39122LAF1NANANA,57.0
39122LAF1bart3NANA,57.0
39122NANANANA,15.0
39122NAbart3NANA,16.0
40438NAb3NANA,34.0
41992LIV1b2NANA,178.0
41992LIV2NANANA,18.0
41992LIV3NANANA,2.0
41992NANANANA,41.0
41992NAb2NANA,31.0
43280NANANANA,74.0
43280NAb1NANA,59.0
43280NAb2NANA,63.0
43280NAb3NANA,4.0
43280NAbrt2NANA,59.0
43280VTA1_dNANANA,86.0
43280VTA1_db3NANA,84.0
46114MAR1b2NANA,44.0
46114MAR1b3NANA,48.0
