parcel_id,max_built_dua,max_built_non_res_far
1867195,28.0,
992726,87.0,
1867193,28.0,
56264,35.0,
991358,87.0,
1408202,84.0,
991351,87.0,
2042643,61.0,
991350,87.0,
991335,87.0,
991333,87.0,
991331,87.0,
991359,87.0,
13684,109.0,
1397448,106.0,
991326,87.0,
892433,208.0,
991324,87.0,
991323,87.0,
1550879,105.0,
1375828,68.0,
1408210,86.0,
892430,208.0,
1478006,61.0,
6050,212.0,
1546838,77.0,
1186788,23.0,
755416,63.0,
1285378,22.0,
315893,62.0,
315899,58.0,
56141,38.0,
316474,56.0,
316699,63.0,
316777,63.0,
1694154,61.0,
6077,213.0,
1694166,61.0,
1375958,61.0,
56063,35.0,
6070,218.0,
2042611,43.0,
1694193,61.0,
17028,62.0,
56016,61.0,
1551877,110.0,
1547326,83.0,
992908,87.0,
992934,87.0,
993145,87.0,
993144,87.0,
60602,134.0,
993131,87.0,
6643,194.0,
6641,205.0,
993127,87.0,
6632,201.0,
1359768,198.0,
993126,87.0,
6575,201.0,
60541,145.0,
16434,104.0,
993110,87.0,
993103,87.0,
993102,87.0,
60484,129.0,
993101,87.0,
993120,87.0,
60624,137.0,
1872773,38.0,
993147,87.0,
756693,62.0,
1551964,105.0,
61512,109.0,
1547133,85.0,
61474,106.0,
308393,40.0,
6736,88.0,
6730,88.0,
993262,87.0,
61384,109.0,
60868,108.0,
308475,51.0,
60645,106.0,
993187,87.0,
1397920,79.0,
1441984,106.0,
6682,113.0,
2012294,43.0,
993148,87.0,
1551944,105.0,
1322246,59.0,
1872630,37.0,
993100,87.0,
898308,209.0,
1872458,37.0,
59276,107.0,
59264,109.0,
59108,114.0,
1872376,34.0,
1872338,34.0,
59086,105.0,
59502,100.0,
992953,87.0,
6304,214.0,
992939,88.0,
1323220,63.0,
1551914,105.0,
1551906,108.0,
992938,87.0,
992935,87.0,
59071,139.0,
992947,87.0,
59733,112.0,
60131,136.0,
60213,139.0,
2041549,34.0,
1547112,85.0,
1872570,39.0,
1551938,107.0,
2041563,34.0,
60483,143.0,
60327,142.0,
1872498,39.0,
993068,87.0,
1560562,105.0,
993067,87.0,
1357689,152.0,
1872488,38.0,
1320156,63.0,
993064,87.0,
1397811,106.0,
60247,138.0,
993015,87.0,
993008,87.0,
1117788,44.0,
55948,105.0,
1552131,99.0,
68401,65.0,
1020227,109.0,
901750,214.0,
896358,214.0,
1886619,35.0,
1112786,49.0,
889732,153.0,
77400,23.0,
1020184,122.0,
77481,26.0,
1403739,101.0,
1430730,90.0,
889721,153.0,
1373924,107.0,
14006,107.0,
132263,63.0,
1371895,82.0,
76027,84.0,
75912,26.0,
131239,47.0,
14023,105.0,
1430718,91.0,
1886652,23.0,
1382937,108.0,
1547589,80.0,
111429,271.0,
1547593,81.0,
1020361,118.0,
1020359,109.0,
78549,29.0,
1020332,108.0,
77513,26.0,
1374037,106.0,
78499,14.0,
114381,273.0,
1886801,28.0,
1886743,25.0,
12391,34.0,
12388,34.0,
1430715,91.0,
896773,215.0,
1886815,26.0,
1430788,85.0,
75863,29.0,
1430793,84.0,
1922873,59.0,
1433459,84.0,
1433500,85.0,
891052,217.0,
1433841,84.0,
139113,24.0,
891062,218.0,
14186,108.0,
893738,212.0,
1374091,104.0,
901198,215.0,
1433869,89.0,
889416,153.0,
142075,15.0,
14190,109.0,
1418061,61.0,
74340,55.0,
1374142,106.0,
889428,142.0,
1648416,46.0,
1886307,26.0,
1160622,44.0,
75579,27.0,
132548,61.0,
889587,207.0,
1886498,23.0,
75556,26.0,
893728,216.0,
132945,61.0,
1406469,99.0,
133383,39.0,
1556225,47.0,
1886365,23.0,
1886352,22.0,
1365780,46.0,
1019955,207.0,
9893,112.0,
14078,107.0,
1374065,108.0,
897615,212.0,
1403707,137.0,
1406330,85.0,
78705,29.0,
78740,28.0,
1020408,217.0,
1392548,274.0,
13406,85.0,
98190,86.0,
1385375,105.0,
13366,108.0,
98214,86.0,
98248,83.0,
13351,101.0,
1430244,46.0,
896961,203.0,
2030270,57.0,
2030272,56.0,
1385168,107.0,
98388,107.0,
1374008,110.0,
98409,84.0,
1403809,97.0,
1112326,44.0,
98324,84.0,
13440,92.0,
1207395,63.0,
85791,62.0,
81431,106.0,
1379538,110.0,
890506,220.0,
81785,93.0,
1577692,107.0,
81820,94.0,
81860,61.0,
1322447,105.0,
1556168,47.0,
81870,58.0,
1027569,58.0,
1577910,107.0,
1369872,61.0,
13525,84.0,
1919113,30.0,
1027523,60.0,
13479,87.0,
85451,82.0,
85599,80.0,
13743,85.0,
74328,55.0,
1426821,84.0,
80289,34.0,
1108808,44.0,
108965,118.0,
1392486,40.0,
1430702,92.0,
79822,92.0,
1322439,106.0,
2034152,52.0,
1430704,92.0,
1430701,93.0,
79294,28.0,
13798,107.0,
78919,29.0,
13826,109.0,
78907,31.0,
1020463,218.0,
1020441,209.0,
1888742,46.0,
1556123,47.0,
79139,27.0,
1889072,47.0,
1430700,95.0,
12835,91.0,
1430685,90.0,
1914229,45.0,
1914175,9.0,
13039,101.0,
13038,104.0,
99190,85.0,
1373977,105.0,
1369106,61.0,
1385154,108.0,
901639,214.0,
1547516,86.0,
80208,34.0,
1430694,89.0,
1547488,83.0,
1547486,83.0,
80168,39.0,
1547547,82.0,
1556206,48.0,
