development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
6591,,900.0,1000.0,53440685.1771,72518656.7667,1581.12178802,150462752.613,285779.065118,3.0,San Francisco,0.0,44,,0.0,residential,16269540027500,44.0,0.0,San Francisco,San Francisco,67000.0,80683772.913,124.323605706,,,-5833271.2896,3.5,3.66952791341,200.0,0.0,0.0,1954.0,,998714,81651.1614624,deck,0.2,sfo1,sfo1,1.0,1.0,21834577.4917,OBAG,2012.0,1.0,940.179039001,0.0,940.179039001,200045.345583,200.0,7.45576171743e-09,5.0,1.0,True,0.0,26275.9968,3.0,134124458.09,0.0,67449.0,b1,S,-122.403627127,37.7403743287,2040.0,67000SFO1b1NANA
6592,,800.0,1000.0,1318983.01998,1776859.54469,1333.17792969,3437808.50807,6446.64232641,3.0,Alameda,2.0,1,,0.0,residential,15394315243604,1.0,0.0,Oakland,Oakland,53000.0,1802646.11399,200.0,,,-131490.528757,5.0,5.24727797455,3.0,0.0,0.0,2015.0,,7184,1289.32846528,deck,0.2,okd3,okd3,1.0,1.0,441300.366007,OBAG,2012.0,1.0,952.269949777,0.0,952.269949777,4512.64962849,5.0,3.20345549417e-07,7.0,1.0,True,0.0,26298.1057514,18.0,3121629.13398,2.0,1960.0,lrt2,S,-122.268351868,37.8180544766,2040.0,53000OKD3lrt2NANA
6593,,1000.0,1000.0,2233571.44017,3399628.78133,1236.26461182,6307184.39801,10203.615533,3.0,Alameda,6.0,1,,0.0,residential,11779454177798,1.0,0.0,Oakland,Oakland,53000.0,3535676.98843,50.0,,,-184124.924049,1.5,1.63977436705,1.0,0.0,0.0,1937.0,,30033,6802.41035533,surface,0.0,okd1,okd1,1.0,1.0,714893.749447,OBAG,2012.0,1.0,883.046151297,0.0,883.046151297,7142.5308731,7.0,1.73332802769e-07,4.0,1.0,True,0.0,26303.5605784,18.0,5769248.42861,6.0,4044.0,brt3,S,-122.237057137,37.8052409762,2040.0,53000OKD1brt3NANA
6594,,1000.0,1000.0,1877610.40689,3892585.94956,1590.10863953,6386319.84954,10040.697363,3.0,San Francisco,3.0,1,,0.0,residential,13278119906570,1.0,0.0,San Francisco,San Francisco,67000.0,3954374.85641,99.6224325924,,,-184254.820018,3.25,3.26716622696,4.0,0.0,0.0,2011.0,,1023360,3089.44534247,deck,0.2,sfo12,sfo12,1.0,1.0,727944.997759,OBAG,2012.0,1.0,1135.79188538,0.0,1135.79188538,7028.48815413,7.0,1.71468197338e-07,5.0,1.0,True,0.0,26322.1171454,3.0,5831985.2633,3.0,3600.0,lrt2,S,-122.423061902,37.7441634811,2040.0,67000SFO12lrt2NANA
6595,,1000.0,1000.0,1877599.20934,3892585.94956,1590.10863953,6386281.76328,10040.6374831,3.0,San Francisco,3.0,1,,0.0,residential,5995217382913,1.0,0.0,San Francisco,San Francisco,67000.0,3954374.48792,99.6224325924,,,-184282.966239,3.25,3.26716622696,4.0,0.0,0.0,1914.0,,1023336,3089.42691787,deck,0.2,sfo12,sfo12,1.0,1.0,727944.997759,OBAG,2012.0,1.0,1135.79188538,0.0,1135.79188538,7028.44623816,7.0,1.71468537396e-07,5.0,1.0,True,0.0,26326.1380341,3.0,5831973.69725,3.0,3600.0,lrt2,S,-122.423435698,37.7441406086,2040.0,67000SFO12lrt2NANA
6596,,1000.0,1000.0,4807173.81073,9613547.79265,1305.76986084,14337740.2418,21960.5930138,3.0,Alameda,8.0,0,,0.0,residential,2773685597304,0.0,0.0,Berkeley,Berkeley,6000.0,9906355.6995,50.0,,,-394919.58022,1.5,1.63977436705,7.0,0.0,0.0,2015.0,,110534,14640.3953426,surface,0.0,ber5,ber5,1.0,1.0,0.0,OBAG,2012.0,1.0,932.692757743,0.0,932.692757743,15372.4151097,15.0,6.79646579228e-08,4.0,1.0,True,0.0,26327.9720147,19.0,14713529.5102,8.0,10827.0,brt2,S,-122.257104822,37.8650111876,2040.0,06000BER5brt2NANA
6597,,1000.0,1000.0,1252690.30856,3156837.85776,1688.14858704,4389222.44581,5200.04279187,3.0,San Francisco,0.0,0,,0.0,residential,1609529447963,0.0,0.0,San Francisco,San Francisco,67000.0,3208838.28568,71.3560097026,,,-78996.4266503,2.0,2.3401551129,4.0,0.0,0.0,1925.0,,986608,2600.02139594,surface,0.0,sfo4,sfo4,1.0,1.0,0.0,OBAG,2012.0,1.0,1205.82041931,0.0,1205.82041931,3640.02995431,4.0,2.24138426747e-07,7.0,1.0,True,0.0,26332.1422168,3.0,4461528.59424,0.0,2750.0,bart1,S,-122.411477248,37.7528851634,2040.0,67000SFO4bart1NANA
6598,,800.0,1000.0,1546705.48177,1467986.05763,929.71706543,3075932.58096,8271.15230894,3.0,Santa Clara,2.0,1,,0.0,residential,6888442440332,1.0,0.0,San Jose,San Jose,68000.0,1515249.78511,150.0,,,-184370.132176,3.5,3.93545848091,4.0,0.0,0.0,1981.0,,1413959,2363.18637398,deck,0.2,sjo7,sjo7,1.0,1.0,187696.376167,OBAG,2012.0,1.0,664.083618164,0.0,664.083618164,5789.80661626,6.0,3.26588703243e-07,5.0,1.0,True,0.0,26338.5903109,11.0,3061955.26688,2.0,2322.0,lrt3,S,-121.916959043,37.3077243963,2040.0,68000SJO7lrt3NANA
6599,,1000.0,1000.0,8724188.80236,3676259.93163,934.531478882,12889202.5903,46653.4160554,3.0,Santa Clara,0.0,6,,0.0,residential,7057964645710,6.0,0.0,San Jose,San Jose,68000.0,4015557.50294,87.12,,,-843443.602847,2.75,2.85714285714,33.0,0.0,0.0,1948.0,,1502135,16964.8785656,deck,0.2,sjo15,sjo15,1.0,1.0,944174.116374,OBAG,2012.0,1.0,493.349365234,0.0,493.349365234,32657.3912388,33.0,7.84944987157e-08,4.0,1.0,True,0.0,26357.612589,10.0,12739746.3053,0.0,5785.0,b2,S,-121.93652268,37.2707675726,2040.0,68000SJO15b2NANA
6600,,1000.0,1000.0,1877608.32832,3891978.85781,1589.86064453,6385316.76373,10040.6862477,3.0,San Francisco,4.0,1,,0.0,residential,4031854279113,1.0,0.0,San Francisco,San Francisco,67000.0,3953767.69626,99.6224325924,,,-184522.414635,3.25,3.26716622696,3.0,0.0,0.0,2015.0,,1023339,3089.44192237,deck,0.2,sfo12,sfo12,1.0,1.0,727803.286333,OBAG,2012.0,1.0,1135.61474609,0.0,1135.61474609,7028.4803734,7.0,1.71486111646e-07,5.0,1.0,True,0.0,26360.3449478,3.0,5831376.02458,4.0,3600.0,lrt2,S,-122.423716044,37.7441234539,2040.0,67000SFO12lrt2NANA
