development_id,SDEM,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,fees,form,geom_id,inclusionary_units,job_spaces,juris,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,parcel_id,parcel_size,parking_config,parking_ratio,pda,policy_based_revenue_reduction,redfin_sale_year,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,retail_ratio,return_on_cost,stories,subsidized,subsidized_units,superdistrict,total_cost,total_residential_units,total_sqft,vmt_res_cat,x,y,year_built
9448,,1640.8,238648.01196,0.0,150.0,697279.00044,1212.02647009,2.0,Napa,0.0,0,0.0,residential,1.15768111637e+13,0.0,0.0,Napa,12120.2647009,13.068,,,446510.72378,0.5,0.579105882353,1.0,0.0,0.0,1959.0,873719,2424.05294017,surface,0.0,,0.0,2012.0,676.82369656,0.0,676.82369656,1030.22249957,1.0,,1.78057101052,1.0,False,0.0,27.0,250768.276661,0.0,0.0,M,-122.295022357,38.276251668,2040.0
9449,,2310.0,424073.890864,0.0,150.0,1222518.70328,2153.75261993,1.0,Contra Costa,0.0,0,0.0,residential,9.24776181608e+12,0.0,0.0,Brentwood,107687.630996,3.6,,,690757.18142,0.1,0.224598930481,1.0,0.0,0.0,9999.0,414979,21537.5261993,surface,0.0,,0.0,2012.0,667.791316732,0.0,667.791316732,1830.68972694,1.0,,1.29899805274,1.0,False,0.0,24.0,531761.521861,0.0,0.0,M,-121.718856801,37.9264435883,2040.0
9450,,1662.0,17036845.5908,0.0,822.735925293,38877181.9585,77829.3540008,2.0,Santa Clara,0.0,0,0.0,residential,1.02989820062e+13,0.0,0.0,San Jose,1556587.08002,30.0,,,20283749.2878,1.0,1.34662129315,40.0,0.0,0.0,1988.0,2054022,77829.3540008,surface,0.0,,0.0,2012.0,587.668518066,0.0,587.668518066,66154.9509006,40.0,,1.09090933594,2.0,False,0.0,13.0,18593432.6708,0.0,0.0,M,-121.868076792,37.2435176866,2040.0
9451,,2191.0,169507618.274,0.0,150.0,411970031.88,860881.758627,1.0,Contra Costa,0.0,0,0.0,residential,1.2675497057e+13,0.0,0.0,Contra Costa County,17217635.1725,5.5,,,224118554.541,0.25,0.325460487225,334.0,0.0,0.0,9999.0,689558,3443527.03451,surface,0.0,,0.0,2012.0,562.99325765,0.0,562.99325765,731749.494833,334.0,,1.20025840321,1.0,False,0.0,22.0,186725253.446,0.0,0.0,MH,-122.168079655,37.8429543471,2040.0
9452,,1402.0,22500268.223,0.0,150.0,49872999.1926,102787.885898,2.0,Alameda,48.0,0,0.0,residential,1.58819663599e+13,0.0,0.0,Hayward,513939.429489,34.0,,,26858791.5401,1.0,1.28741965106,14.0,0.0,0.0,2005.0,256647,102787.885898,surface,0.0,,0.0,2012.0,570.827157157,0.0,570.827157157,87369.7030131,62.0,,1.16705262878,2.0,False,0.0,17.0,23014207.6525,48.0,0.0,M,-122.089490421,37.6862914901,2040.0
9453,,2500.0,809581.170532,0.0,150.0,3681689.90691,4111.63621398,1.0,Contra Costa,0.0,0,0.0,residential,1.3097972898e+13,0.0,0.0,San Ramon,27410.9080932,12.0,,,2844697.82828,0.75,0.810241451953,1.0,0.0,0.0,1992.0,451757,5482.18161864,surface,0.0,,0.0,2012.0,1053.44920247,0.0,1053.44920247,3494.89078188,1.0,,3.39871535338,2.0,False,0.0,23.0,836992.078625,0.0,0.0,M,-121.922248156,37.7689713625,2040.0
9454,,1755.4,202857326.234,0.0,150.0,567158193.988,1030255.59286,1.0,Santa Clara,0.0,0,0.0,residential,1.05708590684e+13,0.0,0.0,Santa Clara County,20605111.8572,5.5,,,340258798.338,0.25,0.260754604872,499.0,0.0,0.0,1982.0,1724451,4121022.37143,surface,0.0,,0.0,2012.0,647.649902344,0.0,647.649902344,875717.253929,499.0,,1.52266663357,1.0,False,0.0,14.0,223462438.091,0.0,0.0,H,-121.512614947,36.9684606544,2040.0
9455,,1999.0,2757006.30724,0.0,150.0,11813376.7862,14002.0635208,1.0,Solano,0.0,0,0.0,residential,1.35671537164e+13,0.0,0.0,Fairfield,280041.270416,8.0,,,8951855.79267,0.25,0.431912709988,6.0,0.0,0.0,9999.0,1841751,56008.2540831,surface,0.0,,0.0,2012.0,992.574438477,0.0,992.574438477,11901.7539927,6.0,,2.94755204315,1.0,False,0.0,26.0,3037047.57766,0.0,0.0,S,-121.972808746,38.3001892644,2040.0
9456,,1844.36755876,13989890.1457,0.0,636.752368164,27468190.2653,71050.7371543,1.0,Santa Clara,0.0,0,0.0,residential,1.38535204572e+13,0.0,0.0,San Jose,2262086.25714,14.5423254416,,,11160132.7931,0.5,0.724393487641,33.0,0.0,0.0,1988.0,2053595,142101.474309,surface,0.0,,0.0,2012.0,454.823120117,0.0,454.823120117,60393.1265811,33.0,,0.686693883656,1.0,False,0.0,12.0,16251976.4028,0.0,0.0,MH,-121.740510623,37.2891659527,2040.0
9457,,1000.0,1829143.4651,0.0,1260.65397339,5811627.32194,7592.9575139,3.0,Alameda,0.0,0,0.0,residential,1.4289781501e+13,0.0,0.0,Emeryville,75929.575139,100.0,,,3984685.36734,2.0,2.43072435586,6.0,0.0,0.0,1981.0,98151,3796.47875695,surface,0.0,eme1,0.0,2012.0,900.467123849,0.0,900.467123849,6454.01388682,6.0,,2.09161816013,6.0,False,0.0,19.0,1905073.04024,0.0,0.0,S,-122.27930056,37.8276679564,2040.0
9458,,1000.0,19961694.5517,0.0,150.0,88041928.025,82862.9910823,3.0,San Francisco,0.0,14,0.0,residential,1.03668344179e+13,14.0,0.0,San Francisco,230174.975229,72.6,,,54233593.3344,1.8,1.96078431373,70.0,0.0,0.0,1948.0,908411,46034.9950457,surface,0.0,,14679868.9545,2012.0,1250.0,0.0,1250.0,70433.54242,70.0,,2.68591242936,5.0,False,0.0,2.0,20191869.527,0.0,0.0,S,-122.457913456,37.7808718931,2040.0
