pda,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
fre3,8547.0,2445.0,2070.0,1938.0,2094.0,2849.0,5255.0,5738.0,16.0,855.0,684.0,1137.0,1633.0,1413.0,1.05466436328,3469761.72043,604.698801051,68.0,68.0,0.0,52423176.1879,770929.061587,0.0,0.0
sfo9_a,4311.0,1745.0,825.0,771.0,970.0,0.0,4562.0,8925.0,3.0,611.0,181.0,4695.0,2468.0,967.0,0.0,6246849.0,699.927058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,7734.0,4201.0,1243.0,1067.0,1223.0,1739.0,6248.0,20784.0,6.0,1819.0,742.0,8430.0,6329.0,3458.0,0.968323525729,9846878.46491,473.77205855,435.0,435.0,0.0,337107601.338,774960.003075,0.0,0.0
sfo10,16146.0,7044.0,2824.0,2716.0,3562.0,4269.0,12628.0,8260.0,2.0,137.0,1297.0,1099.0,4097.0,1628.0,0.955554240398,4266401.3558,516.513481332,229.0,229.0,0.0,308789499.093,1348425.76023,0.0,0.0
ccc1,600.0,149.0,142.0,139.0,170.0,81.0,533.0,5959.0,11.0,240.0,462.0,1819.0,2013.0,1414.0,0.977198697068,2905211.0,487.533310958,1.0,1.0,0.0,877257.91709,877257.91709,0.0,0.0
spa1,1798.0,560.0,568.0,380.0,290.0,147.0,1675.0,5839.0,1.0,289.0,688.0,622.0,2992.0,1247.0,0.98682766191,2600547.6237,445.375513565,7.0,7.0,0.0,2297628.91365,328232.70195,0.0,0.0
wal1,8032.0,2165.0,1796.0,1755.0,2316.0,644.0,7680.0,30408.0,23.0,1460.0,2820.0,9694.0,11751.0,4660.0,0.964920711197,12721239.0,418.351716654,135.0,135.0,0.0,53903333.233,399283.949874,0.0,0.0
pit2,2496.0,902.0,573.0,490.0,531.0,1241.0,1352.0,875.0,1.0,96.0,104.0,94.0,275.0,305.0,0.96259159275,516508.834824,590.295811228,36.0,36.0,0.0,13943538.3265,387320.50907,0.0,0.0
sfo9_b,5005.0,1829.0,1117.0,964.0,1095.0,2117.0,3113.0,5031.0,2.0,208.0,637.0,712.0,2020.0,1452.0,0.956978967495,2243455.0,445.926257205,88.0,88.0,0.0,39961829.9791,454111.704308,0.0,0.0
sjo7,13166.0,4579.0,2350.0,2652.0,3585.0,3400.0,10185.0,12377.0,22.0,899.0,2098.0,2048.0,4743.0,2567.0,0.969157158631,6223606.97933,502.836469204,381.0,381.0,0.0,78311654.6389,205542.400627,0.0,0.0
ccc2,2287.0,1232.0,450.0,364.0,241.0,795.0,1616.0,2209.0,19.0,550.0,327.0,269.0,296.0,748.0,0.948569058482,1710118.0,774.159348121,117.0,117.0,0.0,47744451.3093,408072.233413,0.0,0.0
pal1,869.0,275.0,178.0,189.0,227.0,51.0,806.0,4785.0,1.0,309.0,238.0,1635.0,1680.0,922.0,1.01400233372,1848502.0,386.311807732,19.0,19.0,0.0,6295489.00627,331341.526646,0.0,0.0
