superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
7,82125,16337,18172,18261,29355,58492,26548,142080,1607,25590,9181,42932,33736,29034,0.96572201317,81602936.0,574.344988739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,76227,25896,21343,14699,14289,36805,40027,145817,75,11200,9411,38302,59990,26839,0.992125676801,79288974.0764,543.756722991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,64490,16492,17598,15737,14663,50998,20358,64553,2176,10438,8365,11966,18486,13122,0.903778238691,44142457.0,683.817281923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,114196,32619,25493,27128,28956,87058,34370,104529,279,23274,12721,17706,26067,24482,0.940442072669,72000290.0,688.806838294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,52390,6429,9069,11699,25193,47407,7456,68494,502,4955,6693,18738,17028,20578,0.954924083626,36360865.0,530.862046311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,60169,11387,14510,13864,20408,41954,21915,73793,97,4806,7630,23017,26546,11697,0.942068922325,37358888.0,506.266014392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110186,29947,29513,22441,28285,16765,96270,91014,111,2876,7379,13934,40958,25756,0.974795417349,51556377.4458,566.466449621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,97586,20026,26246,24956,26358,71619,31565,119986,309,26766,15105,23376,34700,19730,0.945747402698,83500910.2,695.922109246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,33535,8713,7360,7871,9591,28574,9215,42793,2853,8933,6564,6728,10008,7707,0.887427558284,29960307.0,700.121678779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,74696,17808,16383,16087,24418,44037,33879,161392,163,13394,9954,41024,77248,19609,0.958673443195,83033363.8,514.482525776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,72441,15346,16015,18706,22374,58052,19052,52552,326,7771,8660,11526,15131,9138,0.939523241336,32588488.0,620.118891764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,109269,37608,27219,23964,20478,58255,61102,139510,352,16501,11884,32985,34699,43089,0.915480449408,83000189.75,594.940790983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,92858,29576,27232,20274,15776,66451,32479,64158,256,11731,9061,10104,18440,14566,0.938623268978,47488679.0,740.183281898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,14725,2692,3839,3579,4615,14606,2946,22965,4056,5398,1561,2166,5581,4203,0.83893573382,14343301.0,624.572218594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,87491,22429,23824,21341,19897,63591,30545,102841,204,10988,11866,21385,30723,27675,0.929410639925,62736600.0,610.034908256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,51258,13349,14127,11219,12563,34846,18231,29074,16,990,4281,4871,11957,6959,0.965729035175,16120004.0,554.447410057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,84999,19082,24381,22444,19092,72061,16384,78222,1797,11744,11579,8544,23968,20590,0.961037933179,54894690.0,701.780701082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,52066,13013,15459,12657,10937,36071,16970,40637,145,5599,5039,6031,12980,10843,0.981617993628,26632705.0,655.380687551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
