superdistrict,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
10,128305,26762,27910,31040,42593,85208.0,45973.0,146299,278,16208,19626,35813,47501,26873,0.978076093337,72297074.921,494.17340461,375.0,375.0,0.0,72026457.7179,192070.553914,0.0,0.0
1,106384,40732,23887,18903,22862,1728.0,107912.0,451391,388,15111,16646,224396,120270,74580,0.970302809194,218215554.514,483.429121347,226.0,226.0,0.0,142797557.182,631847.59815,0.0,0.0
3,152485,52033,36124,29591,34737,59358.0,97107.0,196231,108,12295,10321,47333,82462,43712,0.97456300131,107534500.62,547.999554708,317.0,317.0,0.0,172326081.163,543615.397991,0.0,0.0
6,90035,18200,21522,21184,29129,54927.0,36344.0,116339,664,9703,11125,40279,35428,19140,0.986457911056,62940331.5274,541.008015605,78.0,78.0,0.0,50005355.6558,641094.30328,0.0,0.0
31,36348,6504,9056,9269,11519,33789.0,6126.0,29618,2636,4856,3284,3495,8045,7302,0.910635099587,17974722.0383,606.885071185,8.0,8.0,0.0,3274559.37915,409319.922394,0.0,0.0
7,86573,18347,20379,20155,27692,58499.0,29010.0,161146,1591,24254,9573,52565,41713,31450,0.989303957307,81417746.0,505.242115845,16.0,16.0,0.0,7766870.40359,485429.400224,0.0,0.0
19,84295,28081,22691,16635,16888,36748.0,45282.0,163187,74,10593,10017,43033,68701,30769,1.02761184932,78591040.6901,481.601112161,304.0,304.0,0.0,137026312.38,450744.448618,0.0,0.0
29,68686,14783,17430,16738,19735,51090.0,20829.0,67576,2143,9866,9219,11828,20064,14456,0.955046649703,43536645.001,644.261942125,51.0,51.0,0.0,27142007.7027,532196.229466,0.0,0.0
12,121887,31806,27324,29339,33418,87215.0,38276.0,104127,276,22667,11471,17437,27168,25108,0.971280808982,70985769.6654,681.722988902,285.0,285.0,0.0,69493251.1917,243835.969094,0.0,0.0
23,54620,7335,10175,12740,24370,47390.0,8076.0,70191,498,4988,6846,20352,18116,19391,0.984747412829,36026175.0,513.259178527,56.0,56.0,0.0,23615844.2898,421711.505175,0.0,0.0
22,63963,12656,15249,14829,21229,41926.0,23416.0,77407,90,4703,7859,22595,28736,13424,0.978895656699,36924112.0,477.012569923,123.0,123.0,0.0,48175849.7754,391673.57541,0.0,0.0
2,112884,31515,30583,23121,27665,16746.0,96807.0,97744,111,2821,7107,16455,44259,26991,0.994108477979,51512120.0266,527.010558465,67.0,67.0,0.0,42333789.0761,631847.59815,0.0,0.0
5,108151,27204,27828,24741,28378,71671.0,38884.0,137880,309,26530,15773,31062,40389,23817,0.978255167111,88543644.5609,642.179029307,65.0,65.0,0.0,51075787.6422,785781.348342,0.0,0.0
14,36932,7936,7108,8914,12974,28580.0,10409.0,42619,2806,8641,7227,6142,9815,7988,0.947241529662,29880888.0,701.116591192,112.0,112.0,0.0,6822303.128,60913.4207857,0.0,0.0
8,79173,17981,17777,18288,25127,44003.0,36118.0,169504,163,13953,9798,47194,76448,21948,0.988167896057,78910372.9852,465.536937094,98.0,98.0,0.0,40217233.787,410379.936602,0.0,0.0
13,81633,19554,16414,19909,25756,58239.0,24814.0,56015,324,7846,9830,10848,16697,10470,0.982902483956,33352220.7421,595.415883998,394.0,394.0,0.0,48778946.6782,123804.433193,0.0,0.0
11,128695,44420,26815,27796,29664,58102.0,74857.0,152632,343,17225,14141,33808,41058,46057,0.967929963372,81235872.3495,532.233557508,1442.0,1442.0,0.0,226375052.879,156986.860527,0.0,0.0
20,101633,33842,27912,21115,18764,66474.0,37716.0,73017,251,11575,9986,12682,21404,17119,0.975458297341,48291496.0104,661.373324163,240.0,240.0,0.0,99972334.8203,416551.395084,0.0,0.0
28,16214,2303,3750,3923,6238,14606.0,2946.0,21892,3993,4892,1640,2028,5270,4069,0.923769371012,14343301.0,655.184587977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,103319,33269,24803,22096,23151,72985.0,33625.0,111215,205,11125,12993,22548,34578,29766,0.969130475565,73527424.0,661.128660702,212.0,212.0,0.0,38088466.074,179662.575821,0.0,0.0
4,57279,17819,15125,11647,12688,34781.0,23499.0,29289,16,962,3779,4965,12550,7017,0.9828242965,16170537.3558,552.102746963,1.0,1.0,0.0,730798.312261,730798.312261,0.0,0.0
26,91455,18801,23721,22794,26139,72526.0,16822.0,80012,1815,11499,13578,8473,24459,20188,1.02358194923,54768055.9364,684.498024501,34.0,34.0,0.0,16919004.6589,497617.784085,0.0,0.0
25,54670,13441,15440,12896,12893,36071.0,17227.0,44473,149,6030,5915,7693,13686,11000,1.02574205411,28071295.0,631.198592404,23.0,23.0,0.0,7232747.99802,314467.304262,0.0,0.0
