juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee,deed_restricted_units,inclusionary_units,subsidized_units,inclusionary_revenue_reduction,inclusionary_revenue_reduction_per_unit,total_subsidy,subsidy_per_unit
Petaluma,21263,4660,5622,5470,5511,18315,4805.0,28299,387.0,5559,3825,5862,7048,5618,0.919679930796,20504643.0,724.571292272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Rosa,62776,17827,17654,14737,12558,49420,21455.0,72564,562.0,9070,8850,11960,25688,16434,0.885728395062,45533049.0,627.488134612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rohnert Park,16728,5684,4236,3711,3097,9617,8742.0,12000,94.0,1572,1998,2568,3249,2519,0.911160738602,8543423.0,711.951916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marin County,28865,5358,6721,6395,10391,23832,6534.0,17875,341.0,688,1548,3462,6878,4958,0.95056971613,8869061.0,496.171244755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richmond,39975,15439,11626,7674,5236,24617,17961.0,32703,178.0,6800,4243,5119,7683,8680,0.938865141622,26455943.0,808.976026664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pittsburg,19388,5620,5720,4750,3298,15512,5745.0,11145,21.0,1409,1902,1288,3761,2764,0.912076022016,9356357.0,839.51161956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinda,6703,865,1228,1325,3285,6496,374.0,5165,21.0,190,430,2031,1743,750,0.975691411936,1740740.0,337.026137464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda,34891,12827,9344,6722,5998,15115,20254.0,25307,10.0,3046,1888,4566,7059,8738,0.98648534027,17340461.0,685.204133244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Napa,26861,6646,7756,6492,5967,22499,7925.0,30382,404.0,3661,3796,4523,12048,5950,0.882888509072,21802074.0,717.59838062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hercules,8354,1686,2116,2223,2329,7286,1673.0,4778,4.0,1671,406,771,1062,864,0.932470141757,3009841.0,629.937421515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newark,13250,3171,3683,3397,2999,10159,2731.0,16755,27.0,4146,3347,3148,3446,2641,1.02792862684,17983227.0,1073.30510295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda County,51583,14585,15169,12006,9823,38429,14930.0,27167,97.0,2696,2198,5557,9900,6719,0.966716017916,18938790.2,697.124827916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinez,13970,3042,3938,3538,3452,11507,3534.0,20946,21.0,2761,1387,2735,3753,10289,0.928794628017,11476572.0,547.912346033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danville,15309,1636,2674,3469,7530,15109,848.0,12407,41.0,858,1539,4093,3723,2153,0.959390862944,5863441.0,472.591359716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Healdsburg,4188,1044,1240,1047,857,3818,1112.0,8735,187.0,1779,1022,983,2144,2620,0.849492900609,5579045.0,638.700057241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Concord,47415,14224,13180,10930,9081,30695,20400.0,55342,121.0,6257,7252,12585,17386,11741,0.927977297192,34475656.0,622.956452604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnyvale,56779,15014,13509,13441,14815,26506,34144.0,78714,113.0,21798,6053,23749,14605,12396,0.936174773289,51917357.6,659.569550525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clayton,3754,518,766,977,1493,4054,17.0,2044,6.0,69,151,401,1048,369,0.922132154262,870340.0,425.802348337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daly City,30718,6428,8547,8013,7730,21237,11263.0,18531,31.0,1279,3349,3356,7679,2837,0.945169230769,10771172.0,581.251524473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rio Vista,3375,880,1127,740,628,3198,94.0,2358,414.0,433,262,188,444,617,1.0252126367,1290835.0,547.427905004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland,173204,70709,47400,30255,24840,84630,92101.0,199644,289.0,22205,12102,37251,67545,60252,0.980043116375,123583523.236,619.01947084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lafayette,9305,1352,1959,2164,3830,8013,1712.0,9714,21.0,1013,871,2818,3396,1595,0.956812339332,4749959.0,488.980749434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Pablo,8843,3109,2839,1813,1082,4733,4786.0,7211,19.0,478,870,833,3688,1323,0.928984136989,4715882.0,653.984468174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walnut Creek,31420,7093,8223,7350,8754,16976,16851.0,48379,43.0,2811,5330,15092,17633,7470,0.928843822982,24800163.0,512.622480828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pleasant Hill,13273,2774,3535,3404,3560,10257,3885.0,16107,22.0,584,1812,3638,6972,3079,0.938551831424,9137959.0,567.328428634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union City,20821,4698,5324,5470,5329,15010,5434.0,20893,33.0,7569,2622,2476,4946,3247,1.01844061827,22348142.0,1069.647346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brisbane,1819,430,500,412,477,1396,518.0,5218,4.0,2500,236,744,535,1199,0.950365726228,5533113.0,1060.38961288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloverdale,2905,889,843,682,491,2769,760.0,1709,56.0,402,164,203,399,485,0.823179370927,911163.0,533.155646577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Leandro,30531,8858,9907,6902,4864,21305,10092.0,50906,44.0,18495,6770,5782,9675,10140,0.972417746918,44592119.0,875.969807095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinole,6531,1504,1972,1712,1343,5777,1136.0,6988,13.0,1026,1525,1140,2233,1051,0.944741790829,4221108.0,604.050944476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairfield,32828,7551,9232,8601,7444,26577,7713.0,39384,256.0,6189,5156,4251,11470,12062,0.957363662875,27649595.0,702.051467601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Jose,315181,91050,73182,74292,76657,207492,131986.0,396624,1532.0,85355,37944,87645,89556,94592,0.928428351764,247871020.75,624.952148004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South San Francisco,20469,4399,5478,5224,5368,15999,5698.0,42212,177.0,14837,3561,8523,9088,6026,0.943402313684,33780583.0,800.260186677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palo Alto,27396,5915,5838,5982,9661,17072,11322.0,109984,94.0,11162,4843,28716,55051,10118,0.964851729239,55812845.0,507.463312846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novato,19987,4001,5307,4786,5893,14899,6233.0,24985,112.0,1414,2831,9188,6610,4830,0.945816770774,13655334.0,546.541284771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillsborough,3892,287,512,672,2421,3980,0.0,2181,14.0,180,40,833,785,329,0.0,1205865.0,552.895460798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Half Moon Bay,4613,1090,889,1013,1621,3248,1539.0,4968,357.0,340,450,1254,1889,678,0.963651556298,3616906.0,728.040660225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berkeley,48532,16707,13358,9083,9384,23528,26997.0,110154,46.0,5193,5971,31245,47872,19827,0.960554181098,56097514.24,509.264431977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solano County,6666,1385,1893,1734,1654,5967,449.0,3761,696.0,859,277,445,545,939,1.03896508728,2510330.0,667.463440574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milpitas,26196,10665,5022,5012,5497,14193,13369.0,41515,66.0,14081,4969,6385,8744,7270,0.950439010231,30547310.0,735.81380224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Canyon,5167,1241,1502,1365,1059,3999,1685.0,5265,131.0,1804,761,657,743,1169,0.909042927516,5825022.0,1106.36695157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redwood City,30125,7242,7068,6987,8828,18395,13116.0,66603,86.0,13384,4221,18250,15103,15559,0.956015359716,35440953.0,532.122471961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain View,35323,10551,8468,7632,8672,13859,23457.0,49122,42.0,8780,5004,13457,11342,10497,0.94659127452,32437807.8,660.351935996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sonoma,4805,1159,1401,1094,1151,3733,1761.0,6427,172.0,471,896,1060,2697,1131,0.874590462323,3565901.0,554.831336549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairfax,3386,699,915,831,941,2656,906.0,1386,5.0,48,208,323,524,278,0.950589556429,750418.0,541.427128427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Clara,45811,13250,10977,10970,10614,22466,26502.0,119410,297.0,35854,7812,34914,21475,19058,0.935529325274,77824906.0,651.745297714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vallejo,40826,10601,12349,9914,7962,28793,13149.0,28752,121.0,1601,4254,4372,10756,7648,0.973391826808,17796794.0,618.975862549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodside,2144,138,284,370,1352,2164,2.0,2051,68.0,104,136,627,751,365,0.989843028624,816895.0,398.291077523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Clara County,27384,6098,6689,6609,7988,24486,5294.0,30393,1054.0,2536,1360,5700,13129,6614,0.919543317663,15551830.0,511.69117889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windsor,8574,1761,2199,2279,2335,8315,1522.0,7961,387.0,1459,957,1370,1782,2006,0.871607197316,5943858.0,746.622032408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moraga,5578,691,1159,1242,2486,4986,829.0,4987,8.0,295,650,1195,2176,663,0.959243336199,2497281.0,500.758171245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dixon,5492,1459,1566,1362,1105,5183,984.0,4267,103.0,1014,604,375,1431,740,0.890546456948,3672545.0,860.685493321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vacaville,28932,6313,8269,7767,6583,23412,6407.0,26695,320.0,3124,5066,2993,9355,5837,0.970253864985,18538603.0,694.459749017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilroy,13302,3382,3318,3272,3330,10506,4732.0,16324,683.0,2023,4166,2040,4310,3102,0.872949205933,11482549.0,703.415155599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Hill,13519,4105,2450,2913,4051,11125,3828.0,17080,820.0,5032,1970,2580,3465,3213,0.904099511804,11903708.0,696.938407494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cupertino,21520,4136,4590,4927,7867,14779,7739.0,31084,79.0,7687,2880,7384,8988,4066,0.955679900524,21008999.0,675.878233175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benicia,10494,2084,2790,2636,2984,6912,3604.0,11482,20.0,3976,749,1603,2074,3060,0.997907949791,8594170.0,748.490681066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larkspur,6113,655,1274,1204,2980,3151,3066.0,7530,9.0,253,1197,1357,3708,1006,0.983271674441,3767398.0,500.318459495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piedmont,3735,429,688,766,1852,3875,47.0,1593,8.0,35,32,400,657,461,0.952320244773,703004.0,441.308223478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Mateo,40809,9823,9985,9190,11811,22922,19556.0,53416,33.0,4142,6859,18450,15660,8272,0.960709072932,30474703.0,570.51638086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Rafael,22714,4919,5944,5178,6673,12935,10884.0,41734,111.0,2938,5089,9757,13574,10265,0.953608463831,25703024.0,615.877318254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Bruno,14503,3303,4054,3657,3489,9912,5419.0,13961,28.0,1091,2906,2582,4805,2549,0.945991781358,7855604.0,562.682042834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calistoga,1916,497,591,435,393,1572,762.0,2260,64.0,228,172,233,1159,404,0.820908311911,1676932.0,742.005309735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotati,2896,685,858,762,591,2145,1102.0,2827,23.0,451,473,470,760,650,0.891900215584,2011724.0,711.610894942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mill Valley,6199,1159,1360,1271,2409,4839,1462.0,5651,28.0,265,781,1502,2196,879,0.983812093319,2951745.0,522.340293753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Anselmo,5301,893,1246,1232,1930,4217,1284.0,3046,3.0,244,583,693,1013,510,0.963642974005,1697054.0,557.141825345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Altos,11278,2096,2106,2421,4655,9962,1655.0,13879,52.0,563,1150,4475,4753,2886,0.970818627873,6668422.0,480.468477556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,10377,2806,3149,2386,2036,7790,3229.0,5168,5.0,176,1151,905,1950,981,0.941736999728,3200863.0,619.362035604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saratoga,10713,1417,1676,2106,5514,10526,589.0,8065,33.0,496,494,2250,3307,1485,0.96383265857,3651116.0,452.711221327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suisun City,8522,1841,2636,2358,1687,8143,975.0,2164,12.0,148,250,350,874,530,0.934634788331,1477193.0,682.621534196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastopol,3116,825,914,715,662,2394,1138.0,4869,39.0,504,772,651,1937,966,0.882219705549,2509791.0,515.463339495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campbell,17235,4900,4243,4188,3904,9170,9330.0,24433,40.0,2930,3089,6591,6232,5551,0.931621621622,14766925.0,604.384439078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Helena,2258,514,547,581,616,2049,706.0,5672,1018.0,1367,593,843,1285,566,0.819600725953,3136927.0,553.054830748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albany,7390,2326,2319,1589,1156,4067,3123.0,4580,7.0,279,725,694,1612,1263,1.02781641168,2709246.0,591.538427948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Gatos,11918,1859,2466,2920,4673,9174,3492.0,17580,55.0,1512,1918,4277,6710,3108,0.940944260224,8627179.0,490.738282139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menlo Park,13787,2995,2728,2906,5158,8167,5954.0,35226,144.0,5674,1513,12875,7984,7036,0.976347284187,20393582.0,578.935502186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Carlos,13338,2003,3097,3115,5123,9103,4622.0,17113,41.0,4124,1829,4483,3433,3203,0.971803278689,12052328.0,704.279086075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Altos Hills,3024,226,451,634,1713,3105,0.0,1601,1.0,49,10,752,515,274,0.0,597900.0,373.454091193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sausalito,4434,694,1002,1000,1738,1976,2551.0,4954,23.0,361,458,1703,1468,941,0.979456593771,3063230.0,618.334679047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacifica,13735,2337,3602,3697,4099,11358,3207.0,6213,7.0,437,1018,1448,2118,1185,0.943014074837,4182162.0,673.13085466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmont,8956,1416,2102,2231,3207,7252,2031.0,8107,3.0,869,795,2033,3008,1399,0.964774318647,5234781.0,645.711237202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiburon,3867,608,752,765,1742,2720,1145.0,2602,31.0,94,176,968,1015,318,1.00051746442,1466160.0,563.474250576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Palo Alto,7265,1981,1982,1659,1643,4546,3076.0,4891,18.0,367,679,1435,1909,483,0.953161899764,3670698.0,750.500511143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emeryville,6768,2734,1803,1269,962,1428,4274.0,18189,7.0,2580,1881,4885,5080,3756,1.18695194669,11838587.0,650.865193249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corte Madera,4262,931,1048,949,1334,3013,1345.0,6266,11.0,442,1564,1135,1955,1159,0.977971546581,3710765.0,592.20635174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foster City,12632,2450,2638,2870,4674,7570,5494.0,18148,136.0,1672,949,8961,3578,2852,0.966932026944,10645492.0,586.593123209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millbrae,8007,1538,1997,1995,2477,5765,2692.0,6501,8.0,389,879,1165,3007,1053,0.946789641717,4583664.0,705.070604522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burlingame,12405,1992,2911,2906,4596,7050,6033.0,30170,89.0,6423,2777,8797,7648,4436,0.948177023618,20914565.2,693.223904541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atherton,2476,209,365,472,1430,2523,0.0,2163,5.0,88,29,571,1231,239,0.0,1007615.0,465.841423948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portola Valley,1780,77,206,252,1245,1794,0.0,2851,850.0,159,35,782,718,307,0.992196209588,1012593.0,355.171168011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monte Sereno,1275,180,243,276,576,1258,100.0,547,10.0,43,6,288,135,65,0.938880706922,204200.0,373.308957952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross,869,116,190,212,351,861,25.0,333,0.0,17,12,51,204,49,0.980812641084,172540.0,518.138138138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yountville,1034,250,284,237,263,859,392.0,2751,109.0,178,46,121,703,1594,0.826538768985,1219291.0,443.2173755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colma,790,173,260,198,159,394,445.0,4526,2.0,207,2219,181,1342,575,0.941597139452,2299195.0,507.997127707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belvedere,1010,86,164,212,548,898,125.0,314,9.0,5,11,136,106,47,0.987292277615,137930.0,439.267515924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
